LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-11-16 01:56:16,1900-01-00 00:00:00,,28:18:FD:21:46:AC,-65, ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:17,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:18,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:18,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:18,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:18,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:18,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:19,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:19,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:19,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:19,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:19,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:20,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:20,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:21,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:21,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:21,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:22,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:22,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:22,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:23,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:23,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:25,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:25,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:26,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:26,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:27,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:28,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:28,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:28,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:29,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:29,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:30,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:30,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:30,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 01:56:31,1900-01-00 00:00:00,CPPLUS-46AC,28:18:FD:21:46:AC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
