LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-11-16 15:13:48,1900-01-00 00:00:00,,1A:42:B0:3A:EB:79,-71, ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:13:48,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:14:10,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:14:29,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:15:24,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:16:39,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:16:40,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:16:55,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:16:56,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:17:05,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:17:06,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:17:17,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:17:49,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:17:57,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:17:59,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:18:09,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:18:17,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:18:52,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:19:25,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:19:25,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:19:35,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:19:49,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:19:55,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:19:59,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:00,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:00,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:02,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:02,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:02,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:17,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:17,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:18,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:33,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:20:33,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:26,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:27,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:49,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:50,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:53,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:53,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:54,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:55,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:57,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:57,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:21:57,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:22:01,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:22:25,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:22:26,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:22:27,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:22:28,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:22:29,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:22:32,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:22:37,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:22:37,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:24:04,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:24:20,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:26:28,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:26:28,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:26:29,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:26:29,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:26:30,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 15:26:30,1900-01-00 00:00:00,Pravin Kumar,1A:42:B0:3A:EB:79,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
