LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-11-16 20:34:41,1900-01-00 00:00:00,,4A:0C:63:29:4F:F4,-47, ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:41,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:41,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:41,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:41,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:42,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:43,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:43,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:43,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:43,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:44,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-16 20:34:44,1900-01-00 00:00:00,Gurjar,4A:0C:63:29:4F:F4,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
